Date,High-Low
11/20/2013,13.000045000000114
11/19/2013,11.700021000000106
11/18/2013,19.499975999999833
11/15/2013,7.690106000000014
11/14/2013,9.399985999999899
11/13/2013,26.35003000000006
11/12/2013,12.560047000000054
11/11/2013,7.930017000000021
11/8/2013,10.000006000000099
11/7/2013,16.29004599999996
11/6/2013,11.629997000000003
11/5/2013,14.230043000000023
11/4/2013,10.340020999999979
11/1/2013,10.900036
10/31/2013,17.55006299999991
10/30/2013,11.509981000000153
10/29/2013,23.43998799999997
10/28/2013,10.440065000000004
10/25/2013,18.080058000000122
10/24/2013,15.769974999999931
10/23/2013,34.120086000000015
10/22/2013,17.21004800000003
10/21/2013,19.450044999999932
10/18/2013,41.46006900000009
10/17/2013,11.170027000000005
10/16/2013,14.320040000000063
10/15/2013,11.629997000000003
